city	state	MSA Name_Cleaned
Frederiksted	VI	VI NONMETROPOLITAN AREA
Frederiksted	VI	VI NONMETROPOLITAN AREA
Kingshill	VI	VI NONMETROPOLITAN AREA
Kingshill	VI	VI NONMETROPOLITAN AREA
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
Fort Buchanan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
San Juan	PR	San Juan-Caguas-Guaynabo, PR 
Toa Baja	PR	San Juan-Caguas-Guaynabo, PR 
Toa Baja	PR	San Juan-Caguas-Guaynabo, PR 
Toa Baja	PR	San Juan-Caguas-Guaynabo, PR 
Sabana Seca	PR	San Juan-Caguas-Guaynabo, PR 
Toa Alta	PR	San Juan-Caguas-Guaynabo, PR 
